1. chicken nuggets, price: 5.4
167. steak, price: 5.6
168. soup, price: 4.7
169. chicken nuggets, price: 5.4
170. apple juice, price: 1.0
171. cheesecake, price: 3.65
172. cake, price: 6.0
173. steak, price: 5.6
174. soup, price: 4.7
175. chicken nuggets, price: 5.4
176. apple juice, price: 1.0
177. cheesecake, price: 3.65
178. cake, price: 6.0
179. steak, price: 5.6
180. soup, price: 4.7
181. chicken nuggets, price: 5.4
182. apple juice, price: 1.0
183. cheesecake, price: 3.65
184. cake, price: 6.0
185. steak, price: 5.6
186. soup, price: 4.7
187. chicken nuggets, price: 5.4
188. apple juice, price: 1.0
189. cheesecake, price: 3.65
190. cake, price: 6.0
191. steak, price: 5.6
192. soup, price: 4.7
193. chicken nuggets, price: 5.4
194. apple juice, price: 1.0
195. cheesecake, price: 3.65
196. cake, price: 6.0
197. steak, price: 5.6
198. soup, price: 4.7
199. chicken nuggets, price: 5.4
200. apple juice, price: 1.0
201. cheesecake, price: 3.65
202. cake, price: 6.0
203. steak, price: 5.6
204. soup, price: 4.7
205. chicken nuggets, price: 5.4
206. apple juice, price: 1.0
207. cheesecake, price: 3.65
208. cake, price: 6.0
209. steak, price: 5.6
210. soup, price: 4.7
211. chicken nuggets, price: 5.4
212. apple juice, price: 1.0
213. cheesecake, price: 3.65
214. cake, price: 6.0
215. steak, price: 5.6
216. soup, price: 4.7
217. chicken nuggets, price: 5.4
218. apple juice, price: 1.0
219. cheesecake, price: 3.65
220. cake, price: 6.0
221. steak, price: 5.6
222. soup, price: 4.7
223. chicken nuggets, price: 5.4
224. apple juice, price: 1.0
225. cheesecake, price: 3.65
226. cake, price: 6.0
227. steak, price: 5.6
228. soup, price: 4.7
229. chicken nuggets, price: 5.4
230. apple juice, price: 1.0
231. cheesecake, price: 3.65
232. cake, price: 6.0
233. steak, price: 5.6
234. soup, price: 4.7
235. chicken nuggets, price: 5.4
236. apple juice, price: 1.0
237. cheesecake, price: 3.65
238. cake, price: 6.0
239. steak, price: 5.6
240. soup, price: 4.7
241. chicken nuggets, price: 5.4
242. apple juice, price: 1.0
243. cheesecake, price: 3.65
244. cake, price: 6.0
245. steak, price: 5.6
246. soup, price: 4.7
247. chicken nuggets, price: 5.4
248. apple juice, price: 1.0
249. cheesecake, price: 3.65
250. cake, price: 6.0
251. steak, price: 5.6
252. soup, price: 4.7
253. chicken nuggets, price: 5.4
254. apple juice, price: 1.0
255. cheesecake, price: 3.65
256. cake, price: 6.0
257. steak, price: 5.6
258. soup, price: 4.7
259. chicken nuggets, price: 5.4
260. apple juice, price: 1.0
261. cheesecake, price: 3.65
262. cake, price: 6.0
263. steak, price: 5.6
264. soup, price: 4.7
265. chicken nuggets, price: 5.4
266. apple juice, price: 1.0
267. cheesecake, price: 3.65
268. cake, price: 6.0
269. steak, price: 5.6
270. soup, price: 4.7
271. chicken nuggets, price: 5.4
272. apple juice, price: 1.0
273. cheesecake, price: 3.65
274. cake, price: 6.0
275. steak, price: 5.6
276. soup, price: 4.7
277. chicken nuggets, price: 5.4
278. apple juice, price: 1.0
279. cheesecake, price: 3.65
280. cake, price: 6.0
281. steak, price: 5.6
282. soup, price: 4.7
